BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,AdditionalContactInfo,Demographics,rowguid,ModifiedDate
1,EM,False,,Ken,J,Sánchez,,0,,,{92C4279F-1207-48A3-8448-4636514EB7E2},2009-01-07 00:00:00
2,EM,False,,Terri,Lee,Duffy,,1,,,{D8763459-8AA8-47CC-AFF7-C9079AF79033},2008-01-24 00:00:00
3,EM,False,,Roberto,,Tamburello,,0,,,{E1A2555E-0828-434B-A33B-6F38136A37DE},2007-11-04 00:00:00
4,EM,False,,Rob,,Walters,,0,,,{F2D7CE06-38B3-4357-805B-F4B6B71C01FF},2007-11-28 00:00:00
5,EM,False,Ms.,Gail,A,Erickson,,0,,,{F3A3F6B4-AE3B-430C-A754-9F2231BA6FEF},2007-12-30 00:00:00
6,EM,False,Mr.,Jossef,H,Goldberg,,0,,,{0DEA28FD-EFFE-482A-AFD3-B7E8F199D56F},2013-12-16 00:00:00
7,EM,False,,Dylan,A,Miller,,2,,,{C45E8AB8-01BE-4B76-B215-820C8368181A},2009-02-01 00:00:00
8,EM,False,,Diane,L,Margheim,,0,,,{A948E590-4A56-45A9-BC9A-160A1CC9D990},2008-12-22 00:00:00
9,EM,False,,Gigi,N,Matthew,,0,,,{5FC28C0E-6D36-4252-9846-05CAA0B1F6C5},2009-01-09 00:00:00
10,EM,False,,Michael,,Raheem,,2,,,{CA2C740E-75B2-420C-9D4B-E3CBC6609604},2009-04-26 00:00:00
11,EM,False,,Ovidiu,V,Cracium,,0,,,{D2CC2577-EF6B-4408-BD8C-747337FE5645},2010-11-28 00:00:00
12,EM,False,,Thierry,B,D'Hers,,2,,,{FA263C7F-600D-4E89-8DCD-0978F3530F5F},2007-12-04 00:00:00
13,EM,False,Ms.,Janice,M,Galvin,,2,,,{34EB99E0-7042-4DC1-A2FD-BDA290FF0E07},2010-12-16 00:00:00
14,EM,False,,Michael,I,Sullivan,,2,,,{9A7501DE-5CAF-4700-AB07-CC81102BB696},2010-12-23 00:00:00
15,EM,False,,Sharon,B,Salavaria,,2,,,{BEBA63CB-13F1-4B76-A3DE-FE9AC283A94C},2011-01-11 00:00:00
16,EM,False,,David,M,Bradley,,1,,,{2CC8BA72-5DBB-497F-B941-775517993638},2007-12-13 00:00:00
17,EM,False,,Kevin,F,Brown,,2,,,{9EE4713E-B3D8-4409-BC5E-DEC62497F43A},2007-01-19 00:00:00
18,EM,False,,John,L,Wood,,2,,,{FE21BDA7-9327-4D13-89CC-8CA5CEE8F21E},2011-01-31 00:00:00
19,EM,False,,Mary,A,Dempsey,,1,,,{36F04305-6769-4E61-9143-048B2B7AFA20},2011-02-07 00:00:00
20,EM,False,,Wanida,M,Benshoof,,2,,,{1E7E56F4-A583-4E3F-A3FE-BA8A71096D10},2010-12-31 00:00:00
21,EM,False,,Terry,J,Eminhizer,,2,,,{6A288FE0-D9CB-4DA2-BEEA-51370220490C},2009-02-23 00:00:00
22,EM,False,,Sariya,E,Harnpadoungsataya,,0,,,{276E0EB5-0CE7-443F-987F-B7EF293C0930},2008-12-05 00:00:00
23,EM,False,,Mary,E,Gibson,,0,,,{B10CF8EB-5589-4A81-B1BD-051C5759CE06},2009-01-05 00:00:00
24,EM,False,Ms.,Jill,A,Williams,,0,,,{3F605060-96AD-4201-9BE2-BFE7A3C4E468},2009-01-11 00:00:00
25,EM,False,,James,R,Hamilton,,0,,,{423FE59B-7975-4A7E-B8D2-87105C286D4C},2009-01-27 00:00:00
